1.txt friends 1817 True False 0,1|0,2|0,5|0,6|0,7|1,3|1,5|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,7 0,3 True
180.txt friends 1250 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,5|2,6|2,7|3,6|4,5|4,6|4,7|5,6|5,7 [empty] True
181.txt friends 1632 True False 0,1|0,4|0,5|0,6|0,7|1,2|1,4|1,5|1,6|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,7|5,6|5,7 [empty] True
182.txt friends 1170 True False None None None
183.txt friends 962 True False 0,1|0,2|0,4|0,7|1,3|1,4|1,5|1,6|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
184.txt friends 2409 True False None None None
185.txt friends 1618 True False None None None
186.txt friends 1493 True False 0,1|0,4|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
187.txt friends 1496 True False 0,2|0,3|0,6|0,7|1,3|1,4|1,6|1,7|2,3|2,4|2,6|2,7|3,4|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
188.txt friends 1330 True False None None None
189.txt friends 1467 True False 0,2|0,3|0,4|0,5|1,2|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
19.txt friends 1744 True False None None None
190.txt friends 2041 True False None None None
191.txt friends 1031 True False 0,1|0,3|0,5|0,6|0,7|1,3|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
192.txt friends 1118 True False 0,3|0,4|0,5|1,2|1,3|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
193.txt friends 1564 True False 0,1|0,3|0,4|0,6|0,7|1,2|1,4|1,5|1,6|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6 6,7 True
194.txt friends 1213 True False 0,1|0,3|0,4|0,5|0,7|1,2|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|4,5|4,6|4,7|5,6|5,7 0,2 True
195.txt friends 1636 True False None None None
196.txt friends 1176 True False 0,1|0,2|0,4|0,5|0,6|0,7|1,3|1,5|1,6|1,7|2,3|2,4|2,6|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
197.txt friends 1656 True False 0,1|0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,5|1,6|1,7|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7 [empty] True
198.txt friends 2493 True False 0,1|0,2|0,3|0,4|0,5|0,6|0,7|1,3|1,4|1,6|1,7|2,4|2,5|2,6|2,7|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
199.txt friends 1732 True False None None None
2.txt friends 2134 True False None None None
20.txt friends 1574 True False None None None
200.txt friends 1484 True False 0,1|0,3|0,4|0,5|0,6|1,2|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
201.txt friends 1112 True False None None None
202.txt friends 2032 True False None None None
203.txt friends 2374 True False None None None
204.txt friends 1300 True False 0,2|0,4|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
205.txt friends 2023 True False 0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
206.txt friends 1570 True False 0,1|0,4|0,5|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 3,4|6,7 True
207.txt friends 1023 True False None None None
208.txt friends 2173 True False None None None
209.txt friends 1548 True False 0,1|0,2|0,3|0,5|0,6|0,7|1,2|1,4|1,5|1,6|1,7|2,3|2,4|2,6|2,7|3,4|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
21.txt friends 1941 True False None None None
210.txt friends 1401 True False 0,2|0,3|0,4|0,6|0,7|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
211.txt friends 1260 True False 0,1|0,2|0,4|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 1,2|6,7 True
212.txt friends 1643 True False None None None
213.txt friends 1905 True False None None None
214.txt friends 2896 True False None None None
215.txt friends 1925 True False None None None
216.txt friends 2422 True False 0,1|0,2|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,6|2,7|3,4|3,5|3,6|4,6|4,7|5,6|5,7 [empty] True
217.txt friends 2152 True False None None None
218.txt friends 1607 True False None None None
219.txt friends 1548 True False 0,1|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|5,7 [empty] True
22.txt friends 826 True False 0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,5|1,6|1,7|2,3|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
220.txt friends 1555 True False 0,1|0,2|0,3|0,4|0,6|0,7|1,2|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
221.txt friends 2404 True False 0,2|0,3|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7 5,6|5,7|6,7 True
222.txt friends 2715 True False 0,1|0,2|0,5|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|5,6|5,7 [empty] True
223.txt friends 1804 True False None None None
224.txt friends 2480 True False None None None
225.txt friends 2368 True False 0,1|0,2|0,4|0,5|0,6|0,7|1,3|1,4|1,5|1,6|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
226.txt friends 1780 True False None None None
227.txt friends 2330 True False None None None
228.txt friends 1593 True False None None None
229.txt friends 1464 True False 0,1|0,2|0,3|0,4|0,6|0,7|1,3|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
23.txt friends 2055 True False None None None
230.txt friends 2176 True False 0,3|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
231.txt friends 2528 True False 0,1|0,2|0,4|0,5|0,6|0,7|1,3|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
232.txt friends 1564 True False None None None
233.txt friends 1142 True False 0,1|0,3|0,4|0,5|0,6|0,7|1,2|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6 6,7 True
234.txt friends 1341 True False 0,1|0,2|0,3|0,4|0,6|0,7|1,2|1,4|1,5|1,6|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 [empty] True
235.txt friends 953 True False None None None
236.txt friends 1403 True False None None None
237.txt friends 1840 True False None None None
238.txt friends 2177 True False 0,1|0,2|0,3|0,5|0,6|1,2|1,3|1,4|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7 2,3 True
239.txt friends 2302 True False 0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
24.txt friends 1872 True False 0,2|0,3|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,5|4,5|4,6|4,7 [empty] True
240.txt friends 1344 True False None None None
241.txt friends 1236 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,4|1,5|1,6|1,7|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
242.txt friends 1628 True False 0,1|0,3|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|4,5|4,6|4,7|5,6|5,7 [empty] True
243.txt friends 1529 True False 0,1|0,2|0,3|0,5|0,6|0,7|1,2|1,3|1,4|1,7|2,4|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
244.txt friends 2268 True False 0,1|0,3|0,5|0,6|0,7|1,2|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 1,3|6,7 True
245.txt friends 1090 True False None None None
246.txt friends 1652 True False 0,1|0,3|0,5|0,6|0,7|1,2|1,3|1,5|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
247.txt friends 1175 True False None None None
248.txt friends 1750 True False None None None
249.txt friends 1660 True False None None None
25.txt friends 1588 True False None None None
250.txt friends 1230 True False 0,1|0,2|0,3|0,5|0,6|1,3|1,4|1,5|1,6|2,3|2,5|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 3,5 True
251.txt friends 1024 True False None None None
252.txt friends 1330 True False None None None
253.txt friends 1227 True False 0,1|0,2|0,3|0,5|0,6|1,2|1,4|1,5|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 2,5 True
254.txt friends 1901 True False 0,1|0,3|0,4|0,5|1,2|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
255.txt friends 2711 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,6|4,6|4,7|5,6|5,7 [empty] True
256.txt friends 2232 True False None None None
257.txt friends 904 True False 0,1|0,2|0,5|0,6|0,7|1,2|2,3|2,4|2,6|2,7 [empty] True
258.txt friends 1175 True False 0,1|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
259.txt friends 933 True False 0,1|0,2|0,3|0,6|1,2|1,3|1,4|1,5|1,6|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 2,3 True
26.txt friends 1666 True False None None None
260.txt friends 1505 True False 0,1|0,2|0,4|0,5|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,6|3,5|3,6|3,7|4,6|4,7|5,6|5,7 [empty] True
261.txt friends 1986 True False None None None
262.txt friends 2459 True False None None None
263.txt friends 1436 True False None None None
264.txt friends 2298 True False None None None
265.txt friends 2206 True False None None None
266.txt friends 940 True False None None None
267.txt friends 1234 True False None None None
268.txt friends 1718 True False None None None
269.txt friends 1401 True False None None None
27.txt friends 2267 True False 0,2|0,3|0,4|0,7|1,2|1,4|1,5|1,6|1,7|2,3|2,5|2,7|3,4|3,5|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
270.txt friends 1294 True False None None None
271.txt friends 1365 True False None None None
272.txt friends 1263 True False None None None
273.txt friends 1797 True False 0,1|0,2|0,3|0,5|0,7|1,2|1,4|1,5|1,6|1,7|2,3|2,4|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
274.txt friends 2440 True False None None None
275.txt friends 1207 True False 0,1|0,3|0,5|0,6|0,7|1,2|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
276.txt friends 2060 True False None None None
277.txt friends 1850 True False None None None
278.txt friends 987 True False None None None
279.txt friends 1394 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,5|2,6|2,7|3,4|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
28.txt friends 1271 True False None None None
280.txt friends 2714 True False None None None
281.txt friends 834 True False 0,1|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
282.txt friends 2569 True False None None None
283.txt friends 1412 True False None None None
284.txt friends 1133 True False 0,1|0,2|0,3|0,4|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,6|3,5|3,6|4,5|4,6|4,7|5,6|5,7 3,4 True
285.txt friends 1452 True False None None None
286.txt friends 1245 True False 0,1|0,2|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|5,6 [empty] True
287.txt friends 825 True False 0,1|0,2|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,5|2,7|3,4|3,5|3,7|4,5|4,6|4,7|5,6|5,7 1,5 True
288.txt friends 1454 True False 0,1|0,3|0,4|0,5|0,7|1,2|1,3|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
289.txt friends 1165 True False None None None
29.txt friends 1618 True False 0,1|0,2|0,3|0,4|0,5|0,6|0,7|1,3|1,4|1,6|2,3|2,4|2,7|3,5|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
290.txt friends 1726 True False None None None
291.txt friends 1573 True False 0,1|0,3|0,4|0,5|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6 3,4 True
292.txt friends 1198 True False 0,1|0,2|0,3|0,4|0,5|1,2|1,3|1,4|1,6|1,7|2,4|2,5|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 1,5 True
293.txt friends 2380 True False None None None
294.txt friends 1630 True False 0,1|0,2|0,3|0,4|0,5|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,7|3,4|3,5|4,6|4,7|5,6|5,7 4,5 True
295.txt friends 1548 True False 0,2|0,4|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
296.txt friends 1805 True False 0,1|0,2|0,4|0,5|0,6|1,3|1,4|1,5|1,6|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 [empty] True
297.txt friends 1166 True False 0,2|0,3|0,5|0,6|0,7|1,3|1,4|1,6|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
298.txt friends 1911 True False None None None
299.txt friends 968 True False 0,2|0,3|0,4|0,6|0,7|1,2|1,3|1,4|1,6|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
3.txt friends 1562 True False 0,1|0,2|0,5|0,6|0,7|1,2|1,3|1,4|1,6|2,3|2,4|2,5|2,6|2,7|3,4|3,6|4,5|5,6|5,7 [empty] True
30.txt friends 934 True False None None None
300.txt friends 1811 True False None None None
301.txt friends 1955 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 4,5 True
302.txt friends 2667 True False None None None
303.txt friends 1207 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6 3,4 True
304.txt friends 2507 True False None None None
305.txt friends 1310 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,6|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
306.txt friends 2340 True False 0,1|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
307.txt friends 2811 True False None None None
308.txt friends 2364 True False 0,1|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|2,3|2,4|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 3,5 True
309.txt friends 1988 True False None None None
31.txt friends 1442 True False None None None
310.txt friends 1152 True False 0,1|0,2|0,3|0,4|0,6|0,7|1,2|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
311.txt friends 1649 True False None None None
312.txt friends 2103 True False None None None
313.txt friends 2384 True False None None None
314.txt friends 2052 True False None None None
315.txt friends 1734 True False 0,2|0,4|0,5|0,6|0,7|1,2|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
316.txt friends 1762 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,6|2,7|3,5|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
317.txt friends 1819 True False 0,1|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,7 3,4 True
318.txt friends 1242 True False 0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 3,5|6,7 True
319.txt friends 1745 True False 0,1|0,2|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 4,5 True
32.txt friends 1314 True False None None None
320.txt friends 2341 True False None None None
321.txt friends 2346 True False None None None
322.txt friends 1352 True False 0,1|0,2|0,3|0,5|0,6|0,7|1,3|1,4|1,6|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
323.txt friends 1945 True False 0,2|0,3|0,4|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 3,4|6,7 True
324.txt friends 1853 True False None None None
325.txt friends 2126 True False None None None
326.txt friends 1998 True False None None None
327.txt friends 2365 True False 0,2|0,4|0,5|0,6|0,7|1,2|1,4|1,5|1,6|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
328.txt friends 2163 True False None None None
329.txt friends 1916 True False None None None
33.txt friends 1984 True False None None None
330.txt friends 1755 True False 0,1|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|5,6|5,7 [empty] True
