1.txt repeat0 931 True False 0,1 [empty] True
2.txt repeat0 1569 False False 0,2 [empty] True
2.txt repeat1 888 True False 0,2 [empty] True
2.txt repeat2 485 False False 0,2 [empty] True
2.txt repeat3 1569 False False 0,2 [empty] True
2.txt repeat4 888 True False 0,2 [empty] True
20.txt repeat0 785 True False 1,2|2,3 [empty] True
20.txt repeat1 1157 True False 1,2|2,3 [empty] True
20.txt repeat2 1157 True False 1,2|2,3 [empty] True
20.txt repeat3 785 True False 1,2|2,3 [empty] True
20.txt repeat4 785 True False 1,2|2,3 [empty] True
21.txt repeat0 938 False False 1,3|2,3 [empty] True
21.txt repeat1 938 False False 1,3|2,3 [empty] True
21.txt repeat2 1237 False False 1,3|2,3 [empty] True
21.txt repeat3 938 False False 1,3|2,3 [empty] True
21.txt repeat4 938 False False 1,3|2,3 [empty] True
22.txt repeat0 951 True False 0,1|0,2|0,3 [empty] True
22.txt repeat1 951 True False 0,1|0,2|0,3 [empty] True
22.txt repeat2 951 True False 0,1|0,2|0,3 [empty] True
22.txt repeat3 1274 True False 0,1|0,2|0,3 [empty] True
22.txt repeat4 951 True False 0,1|0,2|0,3 [empty] True
23.txt repeat0 755 True False 0,1|0,2|1,2 [empty] True
23.txt repeat1 1234 True False 0,1|0,2|1,2 [empty] True
23.txt repeat2 755 True False 0,1|0,2|1,2 [empty] True
23.txt repeat3 1091 True False 0,1|0,2|1,2 [empty] True
23.txt repeat4 1234 True False 0,1|0,2|1,2 [empty] True
24.txt repeat0 1173 True False 0,1|0,2|1,3 [empty] True
24.txt repeat1 1008 True False 0,1|0,2|1,3 [empty] True
24.txt repeat2 1173 True False 0,1|0,2|1,3 [empty] True
24.txt repeat3 1173 True False 0,1|0,2|1,3 [empty] True
24.txt repeat4 1173 True False 0,1|0,2|1,3 [empty] True
25.txt repeat0 1379 True False 0,1|0,2|2,3 [empty] True
25.txt repeat1 1187 True False 0,1|0,2|2,3 [empty] True
25.txt repeat2 1187 True False 0,1|0,2|2,3 [empty] True
25.txt repeat3 1460 True False 0,1|0,2|2,3 [empty] True
25.txt repeat4 1187 True False 0,1|0,2|2,3 [empty] True
26.txt repeat0 1181 True False 0,1|0,3|1,2 [empty] True
26.txt repeat1 1181 True False 0,1|0,3|1,2 [empty] True
26.txt repeat2 1079 True False 0,1|0,3|1,2 [empty] True
26.txt repeat3 1181 True False 0,1|0,3|1,2 [empty] True
26.txt repeat4 1181 True False 0,1|0,3|1,2 [empty] True
27.txt repeat0 1036 True False 0,1|0,3|1,3 [empty] True
27.txt repeat1 823 True False 0,1|0,3|1,3 [empty] True
27.txt repeat2 1036 True False 0,1|0,3|1,3 [empty] True
27.txt repeat3 1036 True False 0,1|0,3|1,3 [empty] True
27.txt repeat4 823 True False 0,1|0,3|1,3 [empty] True
28.txt repeat0 969 True False 0,1|0,3|2,3 [empty] True
28.txt repeat1 1575 True False 0,1|0,3|2,3 [empty] True
28.txt repeat2 969 True False 0,1|0,3|2,3 [empty] True
28.txt repeat3 1575 True False 0,1|0,3|2,3 [empty] True
28.txt repeat4 1575 True False 0,1|0,3|2,3 [empty] True
29.txt repeat0 1185 True False 0,1|1,2|1,3 [empty] True
29.txt repeat1 1032 True False 0,1|1,2|1,3 [empty] True
29.txt repeat2 1032 True False 0,1|1,2|1,3 [empty] True
29.txt repeat3 1032 True False 0,1|1,2|1,3 [empty] True
29.txt repeat4 1032 True False 0,1|1,2|1,3 [empty] True
3.txt repeat0 1144 False False 0,3 [empty] True
3.txt repeat1 894 True False 0,3 [empty] True
3.txt repeat2 1085 True False 0,3 [empty] True
3.txt repeat3 894 True False 0,3 [empty] True
3.txt repeat4 894 True False 0,3 [empty] True
30.txt repeat0 792 True False 0,1|1,2|2,3 [empty] True
30.txt repeat1 642 True False 0,1|1,2|2,3 [empty] True
30.txt repeat2 1025 True False 0,1|1,2|2,3 [empty] True
30.txt repeat3 1025 True False 0,1|1,2|2,3 [empty] True
30.txt repeat4 642 True False 0,1|1,2|2,3 [empty] True
31.txt repeat0 892 True False 0,1|1,3|2,3 [empty] True
31.txt repeat1 892 True False 0,1|1,3|2,3 [empty] True
31.txt repeat2 1177 True False 0,1|1,3|2,3 [empty] True
31.txt repeat3 892 True False 0,1|1,3|2,3 [empty] True
31.txt repeat4 1177 True False 0,1|1,3|2,3 [empty] True
32.txt repeat0 1189 True False 0,2|0,3|1,2 [empty] True
32.txt repeat1 1421 True False 0,2|0,3|1,2 [empty] True
32.txt repeat2 1189 True False 0,2|0,3|1,2 [empty] True
32.txt repeat3 1421 True False 0,2|0,3|1,2 [empty] True
32.txt repeat4 1189 True False 0,2|0,3|1,2 [empty] True
33.txt repeat0 1296 True False 0,2|0,3|1,3 [empty] True
33.txt repeat1 1296 True False 0,2|0,3|1,3 [empty] True
33.txt repeat2 1296 True False 0,2|0,3|1,3 [empty] True
33.txt repeat3 1296 True False 0,2|0,3|1,3 [empty] True
33.txt repeat4 1296 True False 0,2|0,3|1,3 [empty] True
34.txt repeat0 832 True False 0,2|0,3|2,3 [empty] True
34.txt repeat1 913 True False 0,2|0,3|2,3 [empty] True
34.txt repeat2 832 True False 0,2|0,3|2,3 [empty] True
34.txt repeat3 832 True False 0,2|0,3|2,3 [empty] True
34.txt repeat4 832 True False 0,2|0,3|2,3 [empty] True
35.txt repeat0 1492 True False 0,2|1,2|1,3 [empty] True
35.txt repeat1 1492 True False 0,2|1,2|1,3 [empty] True
35.txt repeat2 1492 True False 0,2|1,2|1,3 [empty] True
35.txt repeat3 1492 True False 0,2|1,2|1,3 [empty] True
35.txt repeat4 1492 True False 0,2|1,2|1,3 [empty] True
36.txt repeat0 1064 True False 0,2|1,2|2,3 [empty] True
36.txt repeat1 1064 True False 0,2|1,2|2,3 [empty] True
36.txt repeat2 833 True False 0,2|1,2|2,3 [empty] True
36.txt repeat3 1064 True False 0,2|1,2|2,3 [empty] True
36.txt repeat4 752 True False 0,2|1,2|2,3 [empty] True
37.txt repeat0 1001 True False 0,2|1,3|2,3 [empty] True
37.txt repeat1 1001 True False 0,2|1,3|2,3 [empty] True
37.txt repeat2 1517 True False 0,2|1,3|2,3 [empty] True
37.txt repeat3 1001 True False 0,2|1,3|2,3 [empty] True
37.txt repeat4 1001 True False 0,2|1,3|2,3 [empty] True
38.txt repeat0 1779 True False 0,3|1,2|1,3 [empty] True
38.txt repeat1 1779 True False 0,3|1,2|1,3 [empty] True
38.txt repeat2 934 True False 0,3|1,2|1,3 [empty] True
38.txt repeat3 1250 True False 0,3|1,2|1,3 [empty] True
38.txt repeat4 934 True False 0,3|1,2|1,3 [empty] True
39.txt repeat0 1197 True False 0,3|1,2|2,3 [empty] True
39.txt repeat1 1376 True False 0,3|1,2|2,3 [empty] True
39.txt repeat2 1197 True False 0,3|1,2|2,3 [empty] True
39.txt repeat3 1376 True False 0,3|1,2|2,3 [empty] True
39.txt repeat4 1197 True False 0,3|1,2|2,3 [empty] True
4.txt repeat0 1235 True False 1,2 [empty] True
4.txt repeat1 967 True False 1,2 [empty] True
4.txt repeat2 1235 True False 1,2 [empty] True
4.txt repeat3 667 False False 1,2 [empty] True
4.txt repeat4 967 True False 1,2 [empty] True
40.txt repeat0 1244 True False 0,3|1,3|2,3 [empty] True
40.txt repeat1 1244 True False 0,3|1,3|2,3 [empty] True
40.txt repeat2 1244 True False 0,3|1,3|2,3 [empty] True
40.txt repeat3 1285 True False 0,3|1,3|2,3 [empty] True
40.txt repeat4 1244 True False 0,3|1,3|2,3 [empty] True
41.txt repeat0 881 True False 1,2|1,3|2,3 [empty] True
41.txt repeat1 881 True False 1,2|1,3|2,3 [empty] True
41.txt repeat2 881 True False 1,2|1,3|2,3 [empty] True
41.txt repeat3 881 True False 1,2|1,3|2,3 [empty] True
41.txt repeat4 810 True False 1,2|1,3|2,3 [empty] True
42.txt repeat0 885 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat1 885 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat2 885 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat3 885 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat4 885 True False 0,1|0,2|0,3|1,2 [empty] True
43.txt repeat0 1087 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat1 1087 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat2 1087 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat3 1087 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat4 1075 True False 0,1|0,2|0,3|1,3 [empty] True
44.txt repeat0 1190 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat1 1190 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat2 1279 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat3 1190 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat4 1190 True False 0,1|0,2|0,3|2,3 [empty] True
45.txt repeat0 1047 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat1 830 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat2 830 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat3 830 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat4 830 True False 0,1|0,2|1,2|1,3 [empty] True
46.txt repeat0 779 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat1 779 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat2 1197 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat3 758 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat4 779 True False 0,1|0,2|1,2|2,3 [empty] True
47.txt repeat0 1239 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat1 1230 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat2 1066 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat3 1239 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat4 1230 True False 0,1|0,2|1,3|2,3 [empty] True
48.txt repeat0 844 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat1 844 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat2 844 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat3 844 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat4 956 True False 0,1|0,3|1,2|1,3 [empty] True
49.txt repeat0 888 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat1 992 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat2 992 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat3 992 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat4 888 True False 0,1|0,3|1,2|2,3 [empty] True
5.txt repeat0 1356 True False 1,3 [empty] True
5.txt repeat1 1356 True False 1,3 [empty] True
5.txt repeat2 681 True False 1,3 [empty] True
5.txt repeat3 1356 True False 1,3 [empty] True
5.txt repeat4 681 True False 1,3 [empty] True
50.txt repeat0 1028 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat1 1028 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat2 934 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat3 1028 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat4 934 True False 0,1|0,3|1,3|2,3 [empty] True
51.txt repeat0 938 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat1 938 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat2 938 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat3 938 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat4 938 True False 0,1|1,2|1,3|2,3 [empty] True
52.txt repeat0 1251 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat1 1251 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat2 1251 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat3 1320 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat4 1251 True False 0,2|0,3|1,2|1,3 [empty] True
53.txt repeat0 864 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat1 864 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat2 1387 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat3 864 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat4 1065 True False 0,2|0,3|1,2|2,3 [empty] True
54.txt repeat0 795 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat1 795 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat2 939 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat3 795 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat4 795 True False 0,2|0,3|1,3|2,3 [empty] True
55.txt repeat0 953 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat1 953 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat2 953 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat3 1114 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat4 953 True False 0,2|1,2|1,3|2,3 [empty] True
56.txt repeat0 1133 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat1 985 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat2 1133 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat3 985 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat4 985 True False 0,3|1,2|1,3|2,3 [empty] True
57.txt repeat0 1058 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat1 1058 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat2 1058 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat3 1426 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat4 1426 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
58.txt repeat0 877 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat1 877 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat2 877 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat3 875 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat4 875 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
59.txt repeat0 1538 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat1 1663 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat2 1663 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat3 1663 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat4 1110 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
6.txt repeat0 838 False False 2,3 [empty] True
6.txt repeat1 926 False False 2,3 [empty] True
6.txt repeat2 838 False False 2,3 [empty] True
6.txt repeat3 705 True False 2,3 [empty] True
6.txt repeat4 838 False False 2,3 [empty] True
60.txt repeat0 855 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat1 855 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat2 855 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat3 855 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat4 855 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
61.txt repeat0 919 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat1 919 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat2 1457 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat3 919 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat4 919 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat0 1314 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat1 1216 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat2 1216 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat3 1314 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat4 1314 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat0 842 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat1 795 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat2 842 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat3 842 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat4 795 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
7.txt repeat0 1396 True False 0,1|0,2 [empty] True
7.txt repeat1 1396 True False 0,1|0,2 [empty] True
7.txt repeat2 1396 True False 0,1|0,2 [empty] True
7.txt repeat3 1020 True False 0,1|0,2 [empty] True
7.txt repeat4 1396 True False 0,1|0,2 [empty] True
8.txt repeat0 1159 True False 0,1|0,3 [empty] True
8.txt repeat1 1159 True False 0,1|0,3 [empty] True
8.txt repeat2 1159 True False 0,1|0,3 [empty] True
8.txt repeat3 1159 True False 0,1|0,3 [empty] True
8.txt repeat4 1159 True False 0,1|0,3 [empty] True
9.txt repeat0 992 True False 0,1|1,2 [empty] True
9.txt repeat1 992 True False 0,1|1,2 [empty] True
9.txt repeat2 992 True False 0,1|1,2 [empty] True
9.txt repeat3 1145 True False 0,1|1,2 [empty] True
9.txt repeat4 992 True False 0,1|1,2 [empty] True
