1.txt repeat0 456 False False 0,1 [empty] True
18.txt repeat2 405 False False 0,3|2,3 [empty] True
18.txt repeat3 374 False False 0,3|2,3 [empty] True
18.txt repeat4 404 True False 0,3|2,3 [empty] True
19.txt repeat0 653 False False 1,2|1,3 [empty] True
19.txt repeat1 700 False False 1,2|1,3 [empty] True
19.txt repeat2 693 False False 1,2|1,3 [empty] True
19.txt repeat3 380 False False 1,2|1,3 [empty] True
19.txt repeat4 704 False False 1,2|1,3 [empty] True
2.txt repeat0 306 False False 0,2 [empty] True
2.txt repeat1 307 True False 0,2 [empty] True
2.txt repeat2 291 True False 0,2 [empty] True
2.txt repeat3 376 True False 0,2 [empty] True
2.txt repeat4 410 True False 0,2 [empty] True
20.txt repeat0 701 False False 1,2|2,3 [empty] True
20.txt repeat1 553 True False 1,2|2,3 [empty] True
20.txt repeat2 380 True False 1,2|2,3 [empty] True
20.txt repeat3 462 True False 1,2|2,3 [empty] True
20.txt repeat4 432 False False 1,2|2,3 [empty] True
21.txt repeat0 402 False False 1,3|2,3 [empty] True
21.txt repeat1 509 False False 1,3|2,3 [empty] True
21.txt repeat2 431 True False 1,3|2,3 [empty] True
21.txt repeat3 476 True False 1,3|2,3 [empty] True
21.txt repeat4 510 False False 1,3|2,3 [empty] True
22.txt repeat0 694 False False 0,1|0,2|0,3 [empty] True
22.txt repeat1 597 False False 0,1|0,2|0,3 [empty] True
22.txt repeat2 518 False False 0,1|0,2|0,3 [empty] True
22.txt repeat3 635 False False 0,1|0,2|0,3 [empty] True
22.txt repeat4 545 False False 0,1|0,2|0,3 [empty] True
23.txt repeat0 513 True False 0,1|0,2|1,2 [empty] True
23.txt repeat1 655 True False 0,1|0,2|1,2 [empty] True
23.txt repeat2 474 True False 0,1|0,2|1,2 [empty] True
23.txt repeat3 586 True False 0,1|0,2|1,2 [empty] True
23.txt repeat4 709 True False 0,1|0,2|1,2 [empty] True
24.txt repeat0 421 True False 0,1|0,2|1,3 [empty] True
24.txt repeat1 395 False False 0,1|0,2|1,3 [empty] True
24.txt repeat2 559 True False 0,1|0,2|1,3 [empty] True
24.txt repeat3 792 False False 0,1|0,2|1,3 [empty] True
24.txt repeat4 480 False False 0,1|0,2|1,3 [empty] True
25.txt repeat0 659 False False 0,1|0,2|2,3 [empty] True
25.txt repeat1 692 True False 0,1|0,2|2,3 [empty] True
25.txt repeat2 664 True False 0,1|0,2|2,3 [empty] True
25.txt repeat3 499 True False 0,1|0,2|2,3 [empty] True
25.txt repeat4 433 False False 0,1|0,2|2,3 [empty] True
26.txt repeat0 424 False False 0,1|0,3|1,2 [empty] True
26.txt repeat1 510 True False 0,1|0,3|1,2 [empty] True
26.txt repeat2 566 False False 0,1|0,3|1,2 [empty] True
26.txt repeat3 450 False False 0,1|0,3|1,2 [empty] True
26.txt repeat4 418 True False 0,1|0,3|1,2 [empty] True
27.txt repeat0 535 True False 0,1|0,3|1,3 [empty] True
27.txt repeat1 613 True False 0,1|0,3|1,3 [empty] True
27.txt repeat2 612 True False 0,1|0,3|1,3 [empty] True
27.txt repeat3 621 True False 0,1|0,3|1,3 [empty] True
27.txt repeat4 759 True False 0,1|0,3|1,3 [empty] True
28.txt repeat0 549 True False 0,1|0,3|2,3 [empty] True
28.txt repeat1 546 True False 0,1|0,3|2,3 [empty] True
28.txt repeat2 609 True False 0,1|0,3|2,3 [empty] True
28.txt repeat3 407 True False 0,1|0,3|2,3 [empty] True
28.txt repeat4 437 True False 0,1|0,3|2,3 [empty] True
29.txt repeat0 543 False False 0,1|1,2|1,3 [empty] True
29.txt repeat1 457 False False 0,1|1,2|1,3 [empty] True
29.txt repeat2 505 True False 0,1|1,2|1,3 [empty] True
29.txt repeat3 465 True False 0,1|1,2|1,3 [empty] True
29.txt repeat4 533 True False 0,1|1,2|1,3 [empty] True
3.txt repeat0 397 False False 0,3 [empty] True
3.txt repeat1 349 False False 0,3 [empty] True
3.txt repeat2 313 False False 0,3 [empty] True
3.txt repeat3 345 False False 0,3 [empty] True
3.txt repeat4 402 False False 0,3 [empty] True
30.txt repeat0 367 False False 0,1|1,2|2,3 [empty] True
30.txt repeat1 463 True False 0,1|1,2|2,3 [empty] True
30.txt repeat2 402 False False 0,1|1,2|2,3 [empty] True
30.txt repeat3 467 True False 0,1|1,2|2,3 [empty] True
30.txt repeat4 395 False False 0,1|1,2|2,3 [empty] True
31.txt repeat0 395 True False 0,1|1,3|2,3 [empty] True
31.txt repeat1 616 False False 0,1|1,3|2,3 [empty] True
31.txt repeat2 471 True False 0,1|1,3|2,3 [empty] True
31.txt repeat3 400 True False 0,1|1,3|2,3 [empty] True
31.txt repeat4 400 False False 0,1|1,3|2,3 [empty] True
32.txt repeat0 469 True False 0,2|0,3|1,2 [empty] True
32.txt repeat1 388 True False 0,2|0,3|1,2 [empty] True
32.txt repeat2 437 True False 0,2|0,3|1,2 [empty] True
32.txt repeat3 483 True False 0,2|0,3|1,2 [empty] True
32.txt repeat4 693 True False 0,2|0,3|1,2 [empty] True
33.txt repeat0 501 False False 0,2|0,3|1,3 [empty] True
33.txt repeat1 644 True False 0,2|0,3|1,3 [empty] True
33.txt repeat2 634 True False 0,2|0,3|1,3 [empty] True
33.txt repeat3 534 True False 0,2|0,3|1,3 [empty] True
33.txt repeat4 465 False False 0,2|0,3|1,3 [empty] True
34.txt repeat0 639 True False 0,2|0,3|2,3 [empty] True
34.txt repeat1 742 True False 0,2|0,3|2,3 [empty] True
34.txt repeat2 865 True False 0,2|0,3|2,3 [empty] True
34.txt repeat3 578 True False 0,2|0,3|2,3 [empty] True
34.txt repeat4 849 True False 0,2|0,3|2,3 [empty] True
35.txt repeat0 457 True False 0,2|1,2|1,3 [empty] True
35.txt repeat1 422 True False 0,2|1,2|1,3 [empty] True
35.txt repeat2 1106 True False 0,2|1,2|1,3 [empty] True
35.txt repeat3 477 True False 0,2|1,2|1,3 [empty] True
35.txt repeat4 608 True False 0,2|1,2|1,3 [empty] True
36.txt repeat0 563 True False 0,2|1,2|2,3 [empty] True
36.txt repeat1 512 True False 0,2|1,2|2,3 [empty] True
36.txt repeat2 441 False False 0,2|1,2|2,3 [empty] True
36.txt repeat3 602 False False 0,2|1,2|2,3 [empty] True
36.txt repeat4 401 False False 0,2|1,2|2,3 [empty] True
37.txt repeat0 453 True False 0,2|1,3|2,3 [empty] True
37.txt repeat1 500 True False 0,2|1,3|2,3 [empty] True
37.txt repeat2 544 True False 0,2|1,3|2,3 [empty] True
37.txt repeat3 542 True False 0,2|1,3|2,3 [empty] True
37.txt repeat4 668 True False 0,2|1,3|2,3 [empty] True
38.txt repeat0 430 True False 0,3|1,2|1,3 [empty] True
38.txt repeat1 516 True False 0,3|1,2|1,3 [empty] True
38.txt repeat2 602 True False 0,3|1,2|1,3 [empty] True
38.txt repeat3 455 True False 0,3|1,2|1,3 [empty] True
38.txt repeat4 518 True False 0,3|1,2|1,3 [empty] True
39.txt repeat0 458 True False 0,3|1,2|2,3 [empty] True
39.txt repeat1 579 True False 0,3|1,2|2,3 [empty] True
39.txt repeat2 373 True False 0,3|1,2|2,3 [empty] True
39.txt repeat3 543 True False 0,3|1,2|2,3 [empty] True
39.txt repeat4 589 True False 0,3|1,2|2,3 [empty] True
4.txt repeat0 397 False False 1,2 [empty] True
4.txt repeat1 519 False False 1,2 [empty] True
4.txt repeat2 314 True False 1,2 [empty] True
4.txt repeat3 435 False False 1,2 [empty] True
4.txt repeat4 368 False False 1,2 [empty] True
40.txt repeat0 385 False False 0,3|1,3|2,3 [empty] True
40.txt repeat1 442 True False 0,3|1,3|2,3 [empty] True
40.txt repeat2 388 False False 0,3|1,3|2,3 [empty] True
40.txt repeat3 440 False False 0,3|1,3|2,3 [empty] True
40.txt repeat4 419 False False 0,3|1,3|2,3 [empty] True
41.txt repeat0 844 True False 1,2|1,3|2,3 [empty] True
41.txt repeat1 556 True False 1,2|1,3|2,3 [empty] True
41.txt repeat2 741 True False 1,2|1,3|2,3 [empty] True
41.txt repeat3 628 True False 1,2|1,3|2,3 [empty] True
41.txt repeat4 990 True False 1,2|1,3|2,3 [empty] True
42.txt repeat0 633 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat1 731 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat2 496 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat3 935 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat4 635 True False 0,1|0,2|0,3|1,2 [empty] True
43.txt repeat0 608 False False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat1 704 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat2 830 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat3 520 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat4 597 True False 0,1|0,2|0,3|1,3 [empty] True
44.txt repeat0 612 False False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat1 484 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat2 909 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat3 625 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat4 575 True False 0,1|0,2|0,3|2,3 [empty] True
45.txt repeat0 745 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat1 555 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat2 584 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat3 534 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat4 677 True False 0,1|0,2|1,2|1,3 [empty] True
46.txt repeat0 604 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat1 730 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat2 623 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat3 1111 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat4 840 True False 0,1|0,2|1,2|2,3 [empty] True
47.txt repeat0 714 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat1 602 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat2 874 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat3 707 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat4 460 True False 0,1|0,2|1,3|2,3 [empty] True
48.txt repeat0 670 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat1 796 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat2 684 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat3 679 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat4 648 True False 0,1|0,3|1,2|1,3 [empty] True
49.txt repeat0 491 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat1 588 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat2 524 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat3 894 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat4 515 True False 0,1|0,3|1,2|2,3 [empty] True
5.txt repeat0 438 False False 1,3 [empty] True
5.txt repeat1 300 False False 1,3 [empty] True
5.txt repeat2 564 True False 1,3 [empty] True
5.txt repeat3 839 False False 1,3 [empty] True
5.txt repeat4 384 False False 1,3 [empty] True
50.txt repeat0 790 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat1 640 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat2 846 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat3 825 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat4 634 True False 0,1|0,3|1,3|2,3 [empty] True
51.txt repeat0 864 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat1 758 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat2 556 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat3 786 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat4 703 True False 0,1|1,2|1,3|2,3 [empty] True
52.txt repeat0 470 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat1 479 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat2 887 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat3 582 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat4 601 False False 0,2|0,3|1,2|1,3 [empty] True
53.txt repeat0 896 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat1 603 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat2 915 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat3 714 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat4 807 True False 0,2|0,3|1,2|2,3 [empty] True
54.txt repeat0 900 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat1 695 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat2 630 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat3 744 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat4 738 True False 0,2|0,3|1,3|2,3 [empty] True
55.txt repeat0 1096 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat1 720 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat2 813 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat3 586 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat4 599 True False 0,2|1,2|1,3|2,3 [empty] True
56.txt repeat0 928 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat1 577 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat2 786 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat3 640 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat4 873 True False 0,3|1,2|1,3|2,3 [empty] True
57.txt repeat0 1055 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat1 634 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat2 837 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat3 1038 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat4 1115 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
58.txt repeat0 664 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat1 893 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat2 653 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat3 697 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat4 710 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
59.txt repeat0 811 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat1 612 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat2 1066 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat3 745 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat4 937 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
6.txt repeat0 366 False False 2,3 [empty] True
6.txt repeat1 316 False False 2,3 [empty] True
6.txt repeat2 384 True False 2,3 [empty] True
6.txt repeat3 416 False False 2,3 [empty] True
6.txt repeat4 285 False False 2,3 [empty] True
60.txt repeat0 865 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat1 724 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat2 577 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat3 458 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat4 704 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
61.txt repeat0 794 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat1 672 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat2 917 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat3 822 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat4 951 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat0 621 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat1 1069 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat2 785 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat3 907 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat4 837 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat0 524 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat1 524 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat2 659 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat3 670 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat4 616 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
7.txt repeat0 423 False False 0,1|0,2 [empty] True
7.txt repeat1 441 False False 0,1|0,2 [empty] True
7.txt repeat2 565 False False 0,1|0,2 [empty] True
7.txt repeat3 667 False False 0,1|0,2 [empty] True
7.txt repeat4 445 False False 0,1|0,2 [empty] True
8.txt repeat0 537 True False 0,1|0,3 [empty] True
8.txt repeat1 414 False False 0,1|0,3 [empty] True
8.txt repeat2 415 False False 0,1|0,3 [empty] True
8.txt repeat3 466 False False 0,1|0,3 [empty] True
8.txt repeat4 429 False False 0,1|0,3 [empty] True
9.txt repeat0 432 False False 0,1|1,2 [empty] True
9.txt repeat1 457 True False 0,1|1,2 [empty] True
9.txt repeat2 338 False False 0,1|1,2 [empty] True
9.txt repeat3 506 True False 0,1|1,2 [empty] True
9.txt repeat4 427 False False 0,1|1,2 [empty] True
