1.txt friends True 1|2|0|1|2|0|3|3 correct
250.txt friends True impossible incorrect
251.txt friends True impossible incorrect
252.txt friends True impossible incorrect
253.txt friends True impossible incorrect
254.txt friends True impossible incorrect
255.txt friends True impossible incorrect
256.txt friends True 0|1|2|0|1|2|3|3 correct
257.txt friends True impossible incorrect
258.txt friends True 1|0|1|1|2|2|3|3 correct
259.txt friends True impossible incorrect
26.txt friends True impossible incorrect
260.txt friends True impossible incorrect
261.txt friends True impossible incorrect
262.txt friends True impossible incorrect
263.txt friends True impossible incorrect
264.txt friends True impossible incorrect
265.txt friends True impossible incorrect
266.txt friends True 1|0|1|2|0|2|3|3 correct
267.txt friends True 0|0|1|2|1|2|3|3 correct
268.txt friends True impossible incorrect
269.txt friends True 0|1|2|1|3|3|2|2 correct
27.txt friends True 0|1|2|1|2|0|3|3 correct
270.txt friends True impossible incorrect
271.txt friends True impossible incorrect
272.txt friends True 1|1|3|2|2|3|0|0 correct
273.txt friends True 0|2|3|2|0|3|1|1 correct
274.txt friends True impossible incorrect
275.txt friends True impossible incorrect
276.txt friends True impossible incorrect
277.txt friends True impossible incorrect
278.txt friends True impossible incorrect
279.txt friends True impossible incorrect
28.txt friends True 0|2|1|0|2|1|3|3 correct
280.txt friends True impossible incorrect
281.txt friends True impossible incorrect
282.txt friends True 2|0|0|3|3|2|1|1 correct
283.txt friends True impossible incorrect
284.txt friends True 0|1|1|2|2|0|3|3 correct
285.txt friends True impossible incorrect
286.txt friends True 0|1|2|0|2|1|3|3 correct
287.txt friends True impossible incorrect
288.txt friends True impossible incorrect
289.txt friends True 1|0|1|0|2|2|3|3 correct
29.txt friends True 0|1|1|2|2|1|3|3 correct
290.txt friends True impossible incorrect
291.txt friends True 0|1|0|2|2|1|3|3 correct
292.txt friends True impossible incorrect
293.txt friends True impossible incorrect
294.txt friends True impossible incorrect
295.txt friends True 1|2|2|3|3|1|0|0 correct
296.txt friends True 2|0|0|2|3|3|1|1 correct
297.txt friends True impossible incorrect
298.txt friends True impossible incorrect
299.txt friends True impossible incorrect
3.txt friends True 1|0|3|1|2|0|2|2 correct
30.txt friends True impossible incorrect
300.txt friends True 1|2|0|0|1|2|3|3 correct
301.txt friends True impossible incorrect
302.txt friends True impossible incorrect
303.txt friends True 3|3|0|2|2|0|1|1 correct
304.txt friends True impossible incorrect
305.txt friends True 0|0|1|2|2|1|3|3 correct
306.txt friends True impossible incorrect
307.txt friends True impossible incorrect
308.txt friends True impossible incorrect
309.txt friends True impossible incorrect
31.txt friends True impossible incorrect
310.txt friends True 0|1|2|1|1|0|3|3 correct
311.txt friends True 0|1|2|0|1|2|3|3 correct
312.txt friends True impossible incorrect
313.txt friends True impossible incorrect
314.txt friends True impossible incorrect
315.txt friends True impossible incorrect
316.txt friends True impossible incorrect
317.txt friends True impossible incorrect
318.txt friends True impossible incorrect
319.txt friends True impossible incorrect
32.txt friends True impossible incorrect
320.txt friends True 0|1|0|1|2|2|3|3 correct
321.txt friends True impossible incorrect
322.txt friends True impossible incorrect
323.txt friends True impossible incorrect
324.txt friends True impossible incorrect
325.txt friends True impossible incorrect
326.txt friends True 0|1|2|2|0|1|3|3 correct
327.txt friends True impossible incorrect
328.txt friends True impossible incorrect
329.txt friends True 2|0|1|2|1|0|3|3 correct
33.txt friends True impossible incorrect
330.txt friends True 1|2|1|3|3|2|0|0 correct
331.txt friends True impossible incorrect
332.txt friends True impossible incorrect
333.txt friends True impossible incorrect
334.txt friends True 0|1|1|2|2|0|3|3 correct
335.txt friends True 0|1|1|2|2|0|3|3 correct
336.txt friends True impossible incorrect
337.txt friends True impossible incorrect
338.txt friends True 0|1|2|1|0|2|3|3 correct
339.txt friends True impossible incorrect
34.txt friends True impossible incorrect
340.txt friends True 1|2|3|1|3|2|0|0 correct
341.txt friends True impossible incorrect
342.txt friends True impossible incorrect
343.txt friends True impossible incorrect
344.txt friends True 2|0|3|2|3|3|1|1 correct
345.txt friends True impossible incorrect
346.txt friends True 3|0|1|0|1|3|2|2 correct
347.txt friends True impossible incorrect
348.txt friends True impossible incorrect
349.txt friends True impossible incorrect
35.txt friends True impossible incorrect
350.txt friends True 1|2|2|3|1|3|0|0 correct
351.txt friends True impossible incorrect
352.txt friends True 1|2|3|3|2|1|0|0 correct
353.txt friends True impossible incorrect
354.txt friends True 0|2|1|0|2|1|3|3 correct
355.txt friends True impossible incorrect
356.txt friends True impossible incorrect
357.txt friends True 2|0|1|1|2|0|3|3 correct
358.txt friends True impossible incorrect
359.txt friends True 1|2|2|1|3|3|0|0 correct
36.txt friends True 0|1|0|3|3|1|2|2 correct
360.txt friends True impossible incorrect
361.txt friends True impossible incorrect
362.txt friends True impossible incorrect
363.txt friends True 0|1|2|1|0|2|3|3 correct
364.txt friends True impossible incorrect
365.txt friends True 1|1|2|2|0|3|3|3 correct
366.txt friends True impossible incorrect
367.txt friends True 0|1|1|2|3|3|2|2 correct
368.txt friends True impossible incorrect
369.txt friends True impossible incorrect
37.txt friends True impossible incorrect
370.txt friends True impossible incorrect
371.txt friends True impossible incorrect
372.txt friends True impossible incorrect
373.txt friends True 0|2|0|1|1|2|3|3 correct
374.txt friends True impossible incorrect
375.txt friends True impossible incorrect
376.txt friends True 0|0|1|2|2|1|3|3 correct
377.txt friends True 0|0|1|2|1|2|3|3 correct
378.txt friends True impossible incorrect
379.txt friends True 1|0|0|2|1|2|3|3 correct
38.txt friends True impossible incorrect
380.txt friends True 1|0|3|3|2|1|2|2 correct
381.txt friends True impossible incorrect
382.txt friends True impossible incorrect
383.txt friends True impossible incorrect
384.txt friends True impossible incorrect
385.txt friends True impossible incorrect
386.txt friends True impossible incorrect
387.txt friends True impossible incorrect
388.txt friends True 0|1|2|1|2|0|3|3 correct
389.txt friends True 0|1|2|2|1|0|3|3 correct
39.txt friends True 0|1|2|0|1|2|3|3 correct
390.txt friends True 0|1|2|1|0|2|3|3 correct
391.txt friends True 0|0|1|2|1|2|3|3 correct
392.txt friends True impossible incorrect
393.txt friends True impossible incorrect
394.txt friends True 1|0|1|0|2|2|3|3 correct
395.txt friends True impossible incorrect
396.txt friends True impossible incorrect
397.txt friends True 1|1|0|2|3|2|3|3 correct
398.txt friends True impossible incorrect
399.txt friends True 0|1|2|1|2|0|3|3 correct
4.txt friends True 1|0|1|3|3|0|2|2 correct
40.txt friends True impossible incorrect
400.txt friends True impossible incorrect
41.txt friends True 1|0|2|3|1|3|2|2 correct
42.txt friends True impossible incorrect
43.txt friends True 3|3|1|0|0|1|2|2 correct
44.txt friends True 1|2|0|2|0|1|3|3 correct
45.txt friends True 1|3|0|2|1|3|2|2 correct
46.txt friends True impossible incorrect
47.txt friends True impossible incorrect
48.txt friends True impossible incorrect
49.txt friends True 2|0|0|1|1|2|3|3 correct
5.txt friends True 1|2|2|1|0|3|3|3 correct
50.txt friends True 0|2|0|2|3|1|1|1 correct
51.txt friends True 2|3|2|2|0|3|1|1 correct
52.txt friends True impossible incorrect
53.txt friends True 2|3|0|2|0|3|1|1 correct
54.txt friends True 1|0|2|1|2|3|3|3 correct
55.txt friends True impossible incorrect
56.txt friends True impossible incorrect
57.txt friends True impossible incorrect
58.txt friends True 3|0|0|2|3|2|1|1 correct
59.txt friends True 1|2|2|1|2|3|0|0 correct
6.txt friends True 0|0|1|2|3|1|3|3 correct
60.txt friends True impossible incorrect
61.txt friends True 0|1|2|1|2|0|3|3 correct
62.txt friends True 1|1|2|3|2|3|0|0 correct
63.txt friends True 0|1|2|3|2|1|3|3 correct
64.txt friends True 0|0|1|2|1|1|3|3 correct
65.txt friends True impossible incorrect
66.txt friends True impossible incorrect
67.txt friends True 3|1|3|0|1|0|2|2 correct
68.txt friends True 0|1|2|1|2|1|3|3 correct
69.txt friends True 1|0|2|3|3|1|2|2 correct
7.txt friends True impossible incorrect
70.txt friends True 0|2|1|1|2|0|3|3 correct
71.txt friends True impossible incorrect
72.txt friends True impossible incorrect
73.txt friends True impossible incorrect
74.txt friends True impossible incorrect
75.txt friends True impossible incorrect
76.txt friends True 0|1|0|1|2|2|3|3 correct
77.txt friends True 1|0|1|2|3|3|2|2 correct
78.txt friends True 0|2|0|1|2|1|3|3 correct
79.txt friends True 1|1|0|2|0|3|2|2 correct
8.txt friends True impossible incorrect
80.txt friends True impossible incorrect
81.txt friends True 1|2|2|1|2|0|3|3 correct
82.txt friends True 2|2|3|0|3|0|1|1 correct
83.txt friends True 1|2|3|1|3|2|0|0 correct
84.txt friends True impossible incorrect
85.txt friends True 0|1|0|2|3|3|1|1 correct
86.txt friends True impossible incorrect
87.txt friends True impossible incorrect
88.txt friends True 0|0|1|3|1|2|3|3 correct
89.txt friends True impossible incorrect
9.txt friends True impossible incorrect
90.txt friends True impossible incorrect
91.txt friends True 1|0|3|1|3|0|2|2 correct
92.txt friends True impossible incorrect
93.txt friends True impossible incorrect
94.txt friends True 1|1|2|3|0|3|2|2 correct
95.txt friends True impossible incorrect
96.txt friends True 0|2|2|2|1|1|3|3 correct
97.txt friends True impossible incorrect
98.txt friends True 0|1|0|2|2|1|3|3 correct
99.txt friends True impossible incorrect
